date,state,fips,cases,deaths
2020-03-08,Vermont,50,1,0
2020-03-09,Vermont,50,1,0
2020-03-10,Vermont,50,1,0
2020-03-11,Vermont,50,2,0
2020-03-12,Vermont,50,2,0
2020-03-13,Vermont,50,2,0
2020-03-14,Vermont,50,5,0
2020-03-15,Vermont,50,8,0
2020-03-16,Vermont,50,12,0
2020-03-17,Vermont,50,14,0
2020-03-18,Vermont,50,19,0
2020-03-19,Vermont,50,22,2
2020-03-20,Vermont,50,29,2
2020-03-21,Vermont,50,49,2
2020-03-22,Vermont,50,52,2
2020-03-23,Vermont,50,75,2
2020-03-24,Vermont,50,95,7
2020-03-25,Vermont,50,123,8
2020-03-26,Vermont,50,158,9
2020-03-27,Vermont,50,184,10
2020-03-28,Vermont,50,211,12
2020-03-29,Vermont,50,235,12
2020-03-30,Vermont,50,256,12
2020-03-31,Vermont,50,293,13
2020-04-01,Vermont,50,321,16
2020-04-02,Vermont,50,338,17
2020-04-03,Vermont,50,389,17
2020-04-04,Vermont,50,461,20
2020-04-05,Vermont,50,512,22
2020-04-06,Vermont,50,543,23
2020-04-07,Vermont,50,575,23
2020-04-08,Vermont,50,605,23
2020-04-09,Vermont,50,628,23
2020-04-10,Vermont,50,679,24
2020-04-11,Vermont,50,711,24
2020-04-12,Vermont,50,727,26
2020-04-13,Vermont,50,748,27
2020-04-14,Vermont,50,752,28
2020-04-15,Vermont,50,759,29
2020-04-16,Vermont,50,768,34
2020-04-17,Vermont,50,779,34
2020-04-18,Vermont,50,803,36
2020-04-19,Vermont,50,812,36
2020-04-20,Vermont,50,816,37
2020-04-21,Vermont,50,818,39
2020-04-22,Vermont,50,823,39
2020-04-23,Vermont,50,825,42
2020-04-24,Vermont,50,827,43
2020-04-25,Vermont,50,843,45
2020-04-26,Vermont,50,851,45
2020-04-27,Vermont,50,855,46
2020-04-28,Vermont,50,862,46
2020-04-29,Vermont,50,862,46
2020-04-30,Vermont,50,866,48
2020-05-01,Vermont,50,879,49
2020-05-02,Vermont,50,886,50
2020-05-03,Vermont,50,897,52
2020-05-04,Vermont,50,902,52
2020-05-05,Vermont,50,907,52
2020-05-06,Vermont,50,908,52
2020-05-07,Vermont,50,916,53
2020-05-08,Vermont,50,919,53
2020-05-09,Vermont,50,921,53
2020-05-10,Vermont,50,926,53
2020-05-11,Vermont,50,926,53
2020-05-12,Vermont,50,927,53
2020-05-13,Vermont,50,929,53
2020-05-14,Vermont,50,932,53
2020-05-15,Vermont,50,933,53
2020-05-16,Vermont,50,934,53
2020-05-17,Vermont,50,940,54
2020-05-18,Vermont,50,940,54
2020-05-19,Vermont,50,944,54
2020-05-20,Vermont,50,944,54
2020-05-21,Vermont,50,950,54
2020-05-22,Vermont,50,952,54
2020-05-23,Vermont,50,954,54
2020-05-24,Vermont,50,956,54
2020-05-25,Vermont,50,962,54
2020-05-26,Vermont,50,967,54
2020-05-27,Vermont,50,971,54
2020-05-28,Vermont,50,974,55
2020-05-29,Vermont,50,975,55
2020-05-30,Vermont,50,977,55
2020-05-31,Vermont,50,981,55
2020-06-01,Vermont,50,983,55
2020-06-02,Vermont,50,988,55
2020-06-03,Vermont,50,990,55
2020-06-04,Vermont,50,1026,55
2020-06-05,Vermont,50,1027,55
2020-06-06,Vermont,50,1046,55
2020-06-07,Vermont,50,1063,55
2020-06-08,Vermont,50,1075,55
2020-06-09,Vermont,50,1084,55
2020-06-10,Vermont,50,1095,55
2020-06-11,Vermont,50,1110,55
2020-06-12,Vermont,50,1119,55
2020-06-13,Vermont,50,1125,55
2020-06-14,Vermont,50,1127,55
2020-06-15,Vermont,50,1130,55
2020-06-16,Vermont,50,1130,55
2020-06-17,Vermont,50,1130,55
2020-06-18,Vermont,50,1135,56
2020-06-19,Vermont,50,1144,56
2020-06-20,Vermont,50,1147,56
2020-06-21,Vermont,50,1159,56
2020-06-22,Vermont,50,1163,56
2020-06-23,Vermont,50,1164,56
2020-06-24,Vermont,50,1184,56
2020-06-25,Vermont,50,1191,56
2020-06-26,Vermont,50,1198,56
2020-06-27,Vermont,50,1200,56
2020-06-28,Vermont,50,1202,56
2020-06-29,Vermont,50,1208,56
2020-06-30,Vermont,50,1208,56
2020-07-01,Vermont,50,1210,56
2020-07-02,Vermont,50,1227,56
2020-07-03,Vermont,50,1236,56
2020-07-04,Vermont,50,1238,56
2020-07-05,Vermont,50,1249,56
2020-07-06,Vermont,50,1251,56
2020-07-07,Vermont,50,1254,56
2020-07-08,Vermont,50,1256,56
2020-07-09,Vermont,50,1272,56
2020-07-10,Vermont,50,1277,56
2020-07-11,Vermont,50,1283,56
2020-07-12,Vermont,50,1296,56
2020-07-13,Vermont,50,1301,56
2020-07-14,Vermont,50,1305,56
2020-07-15,Vermont,50,1318,56
2020-07-16,Vermont,50,1325,56
2020-07-17,Vermont,50,1334,56
2020-07-18,Vermont,50,1338,56
2020-07-19,Vermont,50,1350,56
2020-07-20,Vermont,50,1360,56
2020-07-21,Vermont,50,1366,56
2020-07-22,Vermont,50,1366,56
2020-07-23,Vermont,50,1377,56
2020-07-24,Vermont,50,1385,56
2020-07-25,Vermont,50,1396,56
2020-07-26,Vermont,50,1400,56
2020-07-27,Vermont,50,1402,56
2020-07-28,Vermont,50,1405,56
2020-07-29,Vermont,50,1406,56
2020-07-30,Vermont,50,1407,57
2020-07-31,Vermont,50,1414,57
2020-08-01,Vermont,50,1421,57
2020-08-02,Vermont,50,1426,57
2020-08-03,Vermont,50,1427,57
2020-08-04,Vermont,50,1431,57
2020-08-05,Vermont,50,1436,57
2020-08-06,Vermont,50,1445,58
2020-08-07,Vermont,50,1448,58
2020-08-08,Vermont,50,1454,58
2020-08-09,Vermont,50,1459,58
2020-08-10,Vermont,50,1462,58
2020-08-11,Vermont,50,1472,58
2020-08-12,Vermont,50,1478,58
2020-08-13,Vermont,50,1484,58
2020-08-14,Vermont,50,1501,58
2020-08-15,Vermont,50,1509,58
2020-08-16,Vermont,50,1515,58
2020-08-17,Vermont,50,1527,58
2020-08-18,Vermont,50,1530,58
2020-08-19,Vermont,50,1533,58
2020-08-20,Vermont,50,1537,58
2020-08-21,Vermont,50,1541,58
2020-08-22,Vermont,50,1553,58
2020-08-23,Vermont,50,1557,58
2020-08-24,Vermont,50,1566,58
2020-08-25,Vermont,50,1572,58
2020-08-26,Vermont,50,1577,58
2020-08-27,Vermont,50,1586,58
2020-08-28,Vermont,50,1589,58
2020-08-29,Vermont,50,1605,58
2020-08-30,Vermont,50,1616,58
2020-08-31,Vermont,50,1624,58
2020-09-01,Vermont,50,1635,58
2020-09-02,Vermont,50,1637,58
2020-09-03,Vermont,50,1637,58
2020-09-04,Vermont,50,1642,58
2020-09-05,Vermont,50,1647,58
2020-09-06,Vermont,50,1648,58
2020-09-07,Vermont,50,1651,58
2020-09-08,Vermont,50,1654,58
2020-09-09,Vermont,50,1656,58
2020-09-10,Vermont,50,1661,58
2020-09-11,Vermont,50,1668,58
2020-09-12,Vermont,50,1677,58
2020-09-13,Vermont,50,1684,58
2020-09-14,Vermont,50,1696,58
2020-09-15,Vermont,50,1702,58
2020-09-16,Vermont,50,1702,58
2020-09-17,Vermont,50,1705,58
2020-09-18,Vermont,50,1706,58
2020-09-19,Vermont,50,1710,58
2020-09-20,Vermont,50,1715,58
2020-09-21,Vermont,50,1719,58
2020-09-22,Vermont,50,1721,58
2020-09-23,Vermont,50,1722,58
2020-09-24,Vermont,50,1724,58
2020-09-25,Vermont,50,1731,58
2020-09-26,Vermont,50,1739,58
2020-09-27,Vermont,50,1742,58
2020-09-28,Vermont,50,1745,58
2020-09-29,Vermont,50,1749,58
2020-09-30,Vermont,50,1752,58
2020-10-01,Vermont,50,1755,58
2020-10-02,Vermont,50,1768,58
2020-10-03,Vermont,50,1778,58
2020-10-04,Vermont,50,1785,58
2020-10-05,Vermont,50,1817,58
2020-10-06,Vermont,50,1821,58
2020-10-07,Vermont,50,1827,58
2020-10-08,Vermont,50,1838,58
2020-10-09,Vermont,50,1846,58
2020-10-10,Vermont,50,1857,58
2020-10-11,Vermont,50,1868,58
2020-10-12,Vermont,50,1876,58
2020-10-13,Vermont,50,1886,58
2020-10-14,Vermont,50,1889,58
2020-10-15,Vermont,50,1903,58
2020-10-16,Vermont,50,1915,58
2020-10-17,Vermont,50,1926,58
2020-10-18,Vermont,50,1937,58
2020-10-19,Vermont,50,1946,58
2020-10-20,Vermont,50,1956,58
2020-10-21,Vermont,50,1971,58
2020-10-22,Vermont,50,1987,58
2020-10-23,Vermont,50,2016,58
2020-10-24,Vermont,50,2043,58
2020-10-25,Vermont,50,2073,58
2020-10-26,Vermont,50,2083,58
2020-10-27,Vermont,50,2113,58
2020-10-28,Vermont,50,2120,58
2020-10-29,Vermont,50,2141,58
2020-10-30,Vermont,50,2155,58
2020-10-31,Vermont,50,2179,58
2020-11-01,Vermont,50,2196,58
2020-11-02,Vermont,50,2219,58
2020-11-03,Vermont,50,2237,58
2020-11-04,Vermont,50,2267,58
2020-11-05,Vermont,50,2303,58
2020-11-06,Vermont,50,2326,58
2020-11-07,Vermont,50,2347,59
2020-11-08,Vermont,50,2392,59
2020-11-09,Vermont,50,2415,59
2020-11-10,Vermont,50,2462,59
2020-11-11,Vermont,50,2535,59
2020-11-12,Vermont,50,2651,59
2020-11-13,Vermont,50,2743,59
2020-11-14,Vermont,50,2843,59
2020-11-15,Vermont,50,2889,59
2020-11-16,Vermont,50,3008,59
2020-11-17,Vermont,50,3104,59
2020-11-18,Vermont,50,3161,60
2020-11-19,Vermont,50,3310,61
2020-11-20,Vermont,50,3459,62
2020-11-21,Vermont,50,3546,63
2020-11-22,Vermont,50,3629,63
2020-11-23,Vermont,50,3714,63
2020-11-24,Vermont,50,3762,64
2020-11-25,Vermont,50,3827,64
2020-11-26,Vermont,50,3827,64
2020-11-27,Vermont,50,4005,67
2020-11-28,Vermont,50,4033,67
2020-11-29,Vermont,50,4100,67
2020-11-30,Vermont,50,4172,69
2020-12-01,Vermont,50,4239,72
2020-12-02,Vermont,50,4461,74
2020-12-03,Vermont,50,4642,75
2020-12-04,Vermont,50,4763,77
2020-12-05,Vermont,50,4894,79
2020-12-06,Vermont,50,5015,79
2020-12-07,Vermont,50,5080,81
2020-12-08,Vermont,50,5180,85
2020-12-09,Vermont,50,5285,86
